epoch,accuracy,loss,val_accuracy,val_loss
0,0.7409999966621399,0.8042801022529602,0.875,0.3201802968978882
1,0.8349999785423279,0.37085455656051636,0.8887500166893005,0.2893677055835724
2,0.8529999852180481,0.3323119580745697,0.8587499856948853,0.3806837797164917
3,0.890999972820282,0.2714783549308777,0.8762500286102295,0.3138940632343292
4,0.906000018119812,0.2530122995376587,0.8600000143051147,0.37461331486701965
5,0.9300000071525574,0.1924826204776764,0.8137500286102295,0.5985577702522278
6,0.9350000023841858,0.16305293142795563,0.7975000143051147,0.829964280128479
7,0.9430000185966492,0.1391197144985199,0.8824999928474426,0.4836103022098541
8,0.9470000267028809,0.15047511458396912,0.8799999952316284,0.4301299750804901
9,0.9599999785423279,0.11386687308549881,0.8899999856948853,0.4114393889904022
